@relation preprocessamentoCK

@attribute CLASSE REAL 
@attribute CBO REAL 
@attribute DIT REAL 
@attribute LCOM REAL 
@attribute NOC REAL 
@attribute RFC REAL 
@attribute WMC REAL 
@attribute UOTESTED {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20}
@data
1,17,1,1,0,72,41,2
1,51,1,5,0,58,51,2
1,18,3,1,0,46,29,1
1,9,1,1,0,15,4,2
1,9,1,1,0,42,19,2
1,10,3,2,0,18,2,1
1,0,0,0,0,0,0,2
1,1,1,0,0,0,0,2
1,0,0,0,0,3,0,2
1,0,0,0,0,1,0,2
1,0,0,0,0,0,0,2
1,0,0,0,0,4,0,2
1,1,1,2,0,10,4,2
1,0,0,0,0,3,0,2
1,23,1,17,0,84,62,2
1,12,1,1,0,4,23,2
1,1,1,1,0,4,1,2
1,0,0,0,0,5,0,2
1,13,1,1,0,21,14,2
1,0,0,0,0,18,0,2
1,0,0,0,0,10,0,2
1,0,0,0,0,4,0,2
1,0,0,0,0,9,0,2
1,0,0,0,0,19,0,2
1,0,0,0,0,7,0,2
1,0,0,0,0,18,0,2
1,0,0,0,0,18,0,2
1,13,2,2,0,24,11,2
1,16,2,2,0,33,17,2
1,13,2,2,0,35,14,2
1,12,2,3,0,27,13,2
1,14,2,2,0,36,18,2
1,12,2,2,0,33,15,2
1,7,1,5,2,21,9,2
1,4,1,5,1,16,8,2
1,5,1,1,7,43,23,2
1,5,1,2,4,6,3,2
1,2,1,0,0,2,1,2
1,1,1,0,0,1,1,2
1,10,2,2,0,24,12,2
1,1,1,0,0,1,1,2
1,1,1,0,0,1,1,2
1,1,1,0,0,1,1,2
1,6,1,1,0,13,5,2
1,6,1,1,0,13,5,2
1,6,1,1,0,13,5,2
1,2,1,0,0,2,1,2
1,1,1,0,0,1,1,2
1,1,1,0,0,1,1,2
1,1,1,0,0,1,1,2
1,1,1,0,0,1,1,2
1,1,1,0,0,1,1,2
1,15,2,2,1,44,20,2
1,11,2,2,1,33,12,2
1,1,1,0,0,1,1,2
1,1,1,0,0,1,1,2
1,1,1,0,0,1,1,2
1,12,2,2,1,32,14,2
1,2,1,0,0,2,1,2
1,1,1,0,0,1,1,2
1,10,2,2,0,26,13,2
1,1,1,0,0,1,1,2
1,1,1,0,0,1,1,2
1,11,1,1,0,31,14,2
1,12,1,1,0,41,18,2
1,2,1,1,0,13,2,2
1,0,1,2,0,6,6,2
1,1,1,2,0,4,4,2
1,2,1,1,0,5,4,2
1,0,1,2,1,6,6,2
1,1,1,0,0,1,1,2
1,1,1,2,0,4,4,2
1,1,1,0,0,1,1,2
1,1,1,6,0,12,12,2
1,1,1,2,0,6,6,2
1,4,1,4,0,10,10,2
1,3,0,2,0,2,0,2
1,1,1,4,0,10,10,2
1,1,1,2,0,6,6,2
1,1,1,7,0,16,16,2
1,2,1,0,0,1,1,2
1,1,1,2,0,4,4,2
1,2,1,4,0,8,8,2
1,2,1,5,0,10,10,2
1,1,1,10,0,20,20,2
1,2,1,2,0,6,6,2
1,11,1,44,0,88,88,2
1,1,1,3,0,8,8,2
1,1,1,2,0,6,6,2
1,1,1,4,0,5,5,2
1,1,1,4,0,7,7,2
1,1,1,4,0,8,8,2
1,1,1,4,0,8,8,2
1,1,1,0,0,1,1,2
1,0,1,5,0,10,10,2
1,1,1,0,0,1,1,2
1,1,1,10,0,20,20,2
1,1,1,3,0,6,6,2
1,1,1,2,0,4,4,2
1,1,1,4,0,8,8,2
1,2,1,5,0,12,12,2
1,2,1,4,0,8,8,2
1,1,1,3,0,8,8,2
1,1,1,2,0,4,4,2
1,1,1,2,0,4,4,2
1,1,1,3,0,6,6,2
1,1,1,3,0,13,12,2
1,4,1,6,0,12,12,2
1,0,1,2,0,4,4,2
1,4,1,3,0,8,8,2
1,1,1,5,0,13,13,2
1,1,1,4,0,10,10,2
1,1,1,2,0,6,6,2
1,1,1,7,0,20,20,2
1,2,1,6,0,12,12,2
1,1,1,0,0,1,1,2
1,0,1,0,0,1,1,2
1,1,1,2,0,11,10,2
1,1,1,1,0,9,8,2
1,1,1,4,0,10,10,2
1,1,1,2,0,6,6,2
1,0,1,5,0,12,12,2
1,12,1,6,0,19,15,2
1,1,1,2,0,11,10,2
1,6,1,3,0,13,12,1
1,0,1,3,0,6,6,2
1,1,1,2,0,6,6,2
1,0,1,2,0,3,3,2
1,0,1,2,0,4,4,2
1,2,1,4,0,13,12,2
1,3,1,2,0,11,10,2
1,3,1,1,0,8,2,2
1,16,1,1,0,2,2,2
1,16,1,2,0,3,3,2
1,3,1,1,0,3,3,2
1,1,2,1,0,4,2,2
1,0,0,0,0,1,0,2
1,0,0,0,0,1,0,2
1,0,0,0,0,1,0,2
1,0,0,0,0,1,0,2
1,0,0,0,0,1,0,2
1,0,0,0,0,1,0,2
1,0,0,0,0,1,0,2
1,0,0,0,0,1,0,2
1,0,0,0,0,0,0,2
1,2,1,1,0,4,2,2
1,4,1,2,1,34,12,2
1,56,1,25,2,105,57,2
1,6,0,2,0,2,0,2
1,12,1,8,8,44,28,2
1,9,1,3,10,25,23,2
1,15,1,9,0,62,28,2
1,16,1,20,0,44,27,2
1,11,1,13,0,38,21,2
1,9,1,2,0,30,27,2
1,11,1,2,0,40,33,2
1,12,1,2,0,45,36,2
1,10,1,2,0,41,33,2
1,11,1,7,0,31,25,2
1,5,1,1,0,32,12,2
1,5,1,1,0,23,12,2
1,5,1,1,0,24,12,2
1,5,1,1,0,25,12,2
1,5,1,1,0,26,12,2
1,5,1,1,0,27,12,2
1,5,1,1,0,28,12,2
1,5,1,1,0,29,12,2
1,5,1,1,0,30,12,2
1,5,1,1,0,31,12,2
1,13,1,3,0,31,24,2
1,3,1,2,0,4,6,2
1,6,1,0,3,1,1,2
1,26,0,2,0,2,0,2
1,4,1,0,0,8,2,2
1,27,1,3,0,7,6,2
1,0,0,0,0,1,0,2
1,7,1,1,0,3,2,2
1,0,0,0,0,17,0,2
1,5,1,1,0,19,3,2
1,7,0,2,0,2,0,2
1,23,1,5,0,32,28,2
1,10,0,2,0,2,0,2
1,69,1,5,0,84,66,2
1,14,1,1,3,41,14,2
1,11,1,4,0,94,118,2
1,14,3,1,0,55,19,1
1,9,2,16,0,32,20,1
1,1,1,0,0,0,0,1
1,13,1,3,0,65,38,2
1,7,1,0,0,1,1,2
1,14,3,5,0,35,22,1
1,8,1,1,0,14,3,2
1,12,1,1,0,9,3,2
1,7,3,1,0,22,12,1
1,11,1,1,0,51,52,2
1,12,3,2,0,56,43,1
1,13,1,1,0,47,47,2
1,39,1,2,0,25,20,2
1,5,1,3,0,4,4,2
1,9,1,0,0,1,1,2
1,19,3,2,0,97,82,1
1,2,1,4,0,4,4,1
1,7,1,1,0,43,41,2
1,7,1,2,0,34,5,2
1,14,3,1,0,37,16,1
1,100,1,6,0,23,18,2
1,13,1,1,0,25,5,2
1,0,0,0,0,1,0,2
1,0,0,0,0,1,0,2
1,7,1,1,0,2,2,2
1,3,1,0,1,1,1,2
1,4,1,3,0,4,4,2
1,3,0,2,0,2,0,2
1,3,1,0,0,1,1,2
1,9,1,1,0,4,3,2
1,7,1,0,0,2,1,2
1,38,1,2,0,28,21,2
1,10,1,2,0,23,10,2
1,9,1,2,0,29,16,2
1,5,1,0,0,1,1,2
1,80,1,5,0,47,32,2
1,0,1,1,0,2,2,2
1,0,0,0,0,4,0,2
1,3,1,0,0,3,1,2
1,7,1,1,0,2,2,2
1,20,1,6,3,56,22,2
1,5,3,1,0,14,6,1
1,18,1,9,1,40,19,2
1,13,1,4,1,14,7,2
1,10,1,1,1,6,14,2
1,3,1,1,0,19,17,1
1,4,1,0,0,0,0,1
1,2,2,0,0,0,0,2
1,13,2,4,3,8,6,2
1,17,2,2,1,22,10,2
1,4,2,1,1,1,1,2
1,8,2,1,0,17,8,2
1,11,3,1,0,18,7,1
1,4,3,1,0,1,1,2
1,4,3,1,0,1,1,2
1,12,3,2,0,17,7,2
